date,1y10y_fwd,2y1y_fwd,1m10y_vol,1y10y_vol
2026-02-17,3.0221,2.4781,62.35,75.52
2026-02-18,3.0112,2.4512,62.72,77.37
2026-02-19,2.995,2.4435,65.22,79.98
2026-02-20,3.0049,2.4451,67.28,80.2
2026-02-23,3.0827,2.4866,67.4,79.05
2026-02-24,3.1279,2.4612,64.27,75.12
2026-02-25,3.0749,2.4392,70.37,77.45
2026-02-26,3.0572,2.4605,69.51,77.29
2026-02-27,2.9696,2.4137,67.99,76.44
2026-03-02,2.9626,2.3806,70.85,78.46
2026-03-03,2.9649,2.3965,67.65,74.73
2026-03-04,3.0162,2.4568,71.69,76.71
2026-03-05,2.9768,2.4189,70.77,76.26
2026-03-06,2.9183,2.3405,71.71,77.4
2026-03-09,2.9024,2.3621,71.73,77.01
2026-03-10,2.9065,2.3768,75.79,77.64
2026-03-11,2.9341,2.358,68.6,72.03
2026-03-12,2.9478,2.3884,70.86,71.13
2026-03-13,2.9058,2.3326,68.95,69.49
2026-03-16,2.867,2.326,68.76,69.29
2026-03-17,2.8469,2.3276,70.39,71.59
2026-03-18,2.8568,2.363,74.78,74.25
2026-03-19,2.8127,2.2927,72.82,73.56
2026-03-20,2.8809,2.3363,75.93,75.46
2026-03-23,2.8329,2.2829,75.74,75.68
2026-03-24,2.8148,2.2745,80.11,79.56
2026-03-25,2.8056,2.2185,80.73,80.4
2026-03-26,2.8416,2.2512,75.4,77.68
2026-03-27,2.849,2.2284,73.26,75.36
2026-03-30,2.9178,2.2585,69.48,73.72
2026-03-31,2.894,2.2492,69.06,73.88
2026-04-01,2.922,2.2853,70.17,74.54
2026-04-02,2.9179,2.2732,68.48,72.99
2026-04-03,2.9335,2.3159,69.31,74.46
2026-04-06,2.9321,2.3067,72.59,76.54
2026-04-07,2.8437,2.2409,73.18,76.95
2026-04-08,2.7725,2.2037,73.18,78.65
2026-04-09,2.6957,2.1827,73.5,79.6
2026-04-10,2.6593,2.1709,70.24,78.61
2026-04-13,2.625,2.1086,72.01,80.28
2026-04-14,2.6152,2.1257,76.35,83.91
2026-04-15,2.5715,2.0426,75.56,82.11
2026-04-16,2.6186,2.0717,70.89,80.94
2026-04-17,2.6304,2.0747,75.96,84.12
2026-04-20,2.574,1.999,74.84,84.9
2026-04-21,2.6404,2.0544,71.08,83.68
2026-04-22,2.6946,2.0573,68.57,82.99
2026-04-23,2.7305,2.0803,68.49,84.54
2026-04-24,2.6332,2.0319,74.97,87.17
2026-04-27,2.6036,1.9876,75.31,88.05
2026-04-28,2.5667,1.9842,79.7,91.84
2026-04-29,2.6495,2.0656,77.33,91.78
2026-04-30,2.6043,2.0099,76.54,89.86
2026-05-01,2.6351,2.0447,73.7,85.84
2026-05-04,2.5932,2.0589,79.63,91.11
2026-05-05,2.6037,2.0411,76.99,90.54
2026-05-06,2.6966,2.1384,73.86,88.86
2026-05-07,2.6457,2.0685,73.06,88.19
2026-05-08,2.603,2.0883,71.14,86.88
2026-05-11,2.5682,2.0372,69.7,87.98
2026-05-12,2.5917,2.061,68.15,88.42
2026-05-13,2.6027,2.0677,68.92,87.42
2026-05-14,2.5859,2.0965,74.35,88.88
2026-05-15,2.5783,2.1013,73.65,89.63
2026-05-18,2.5348,2.0833,76.71,93.32
2026-05-19,2.4839,2.0469,78.39,93.85
2026-05-20,2.4466,1.9868,81.62,96.12
2026-05-21,2.498,2.0072,78.19,96.19
2026-05-22,2.5359,2.0623,78.24,93.64
2026-05-25,2.5828,2.0576,74.8,91.99
2026-05-26,2.5904,2.0576,74.13,91.31
2026-05-27,2.6122,2.0926,73.48,91.33
2026-05-28,2.6227,2.1141,73.98,91.22
2026-05-29,2.6173,2.1424,71.71,88.52
2026-06-01,2.6394,2.1769,73.74,89.51
2026-06-02,2.6475,2.1807,69.0,86.62
2026-06-03,2.6785,2.214,70.66,88.06
2026-06-04,2.6713,2.2748,74.65,89.56
2026-06-05,2.6671,2.3148,79.52,94.19
2026-06-08,2.6171,2.2921,84.65,96.88
2026-06-09,2.6835,2.3446,83.59,95.66
2026-06-10,2.666,2.3163,83.41,94.59
2026-06-11,2.7235,2.3543,82.04,93.47
2026-06-12,2.7729,2.3993,82.02,93.68
2026-06-15,2.8276,2.4406,74.8,90.25
2026-06-16,2.8365,2.4434,73.15,89.24
2026-06-17,2.8374,2.4719,71.81,89.4
