date,1y1y,2y1y,3y1y,4y1y,5y1y,6y1y,7y1y,8y1y,9y1y,1y2y,2y2y,3y2y,4y2y,5y2y,6y2y,7y2y,8y2y,10y2y,12y3y,1y5y,2y5y,3y5y,5y5y,7y5y,10y5y,15y5y,20y5y,1y10y,2y10y,3y10y,5y10y,10y10y,20y10y,2y15y,5y15y,10y15y,1y20y,2y20y,5y20y,10y20y,2y25y,5y25y,2y30y,5y30y,1y30y,30y20y
2025-07-11,2.4171,2.4983,2.537,2.5535,2.5593,2.5605,2.5599,2.5576,2.5566,2.4572,2.5174,2.5451,2.5563,2.5599,2.5602,2.5588,2.5571,2.5549,2.5528,2.5113,2.5409,2.5537,2.5588,2.5569,2.5537,2.552,2.5521,2.5332,2.5484,2.5546,2.5564,2.5529,2.5525,2.5496,2.5551,2.5526,2.5417,2.5501,2.5545,2.5527,2.5504,2.5543,2.5497,2.5515,2.5439,2.5307
2025-07-14,2.4756,2.549,2.5827,2.5969,2.6017,2.6017,2.6005,2.5985,2.5966,2.5118,2.5656,2.5897,2.5993,2.6017,2.6011,2.5995,2.5976,2.5949,2.5933,2.5596,2.5858,2.5965,2.5999,2.5972,2.594,2.5925,2.5923,2.5779,2.5911,2.5962,2.5971,2.5933,2.5926,2.5917,2.5958,2.593,2.5845,2.5918,2.5951,2.593,2.5919,2.5947,2.5912,2.5923,2.5861,2.5742
2025-07-15,2.474,2.546,2.578,2.5896,2.5926,2.5917,2.5889,2.5864,2.5842,2.5095,2.5618,2.5837,2.5911,2.5922,2.5903,2.5877,2.5853,2.5816,2.5793,2.5546,2.579,2.5881,2.5889,2.5846,2.5803,2.5785,2.5782,2.5697,2.5817,2.5856,2.5849,2.5794,2.5785,2.5809,2.583,2.5791,2.5738,2.5804,2.582,2.579,2.5801,2.5815,2.5792,2.5793,2.5746,2.5631
2025-07-16,2.4428,2.5162,2.5504,2.5645,2.5688,2.5689,2.5676,2.5657,2.5648,2.4791,2.5331,2.5573,2.5666,2.5688,2.5682,2.5666,2.5653,2.5622,2.5605,2.527,2.5531,2.5638,2.5672,2.5646,2.5612,2.5593,2.5594,2.5453,2.5585,2.5635,2.5644,2.5603,2.5597,2.559,2.5629,2.56,2.5517,2.559,2.5622,2.56,2.5591,2.5618,2.5584,2.5594,2.5533,2.5414
2025-07-17,2.4103,2.482,2.5132,2.5245,2.5261,2.5245,2.5219,2.519,2.5163,2.4457,2.4974,2.5188,2.5253,2.5253,2.5232,2.5205,2.5177,2.5137,2.5114,2.4898,2.5136,2.522,2.5217,2.517,2.5124,2.5101,2.5101,2.5037,2.5152,2.5187,2.5173,2.5113,2.51,2.514,2.5152,2.511,2.5068,2.5132,2.5142,2.5108,2.5127,2.5135,2.5117,2.5114,2.5073,2.496
2025-07-18,2.4262,2.4927,2.5197,2.5281,2.5273,2.5243,2.5205,2.5168,2.5142,2.4591,2.506,2.5239,2.5277,2.5258,2.5224,2.5187,2.5155,2.5108,2.508,2.4976,2.5181,2.524,2.5208,2.5147,2.5092,2.5066,2.5061,2.507,2.5165,2.5185,2.5153,2.508,2.5064,2.5139,2.5128,2.5074,2.5072,2.5123,2.5114,2.5073,2.5114,2.5107,2.5104,2.509,2.5068,2.4965
2025-07-21,2.4137,2.4797,2.5043,2.5104,2.5077,2.5025,2.4977,2.4925,2.4894,2.4463,2.4918,2.5073,2.5091,2.5051,2.5001,2.4951,2.491,2.4854,2.4819,2.4821,2.5007,2.5046,2.4982,2.4902,2.4834,2.4801,2.4803,2.4876,2.4958,2.4965,2.4912,2.4818,2.4802,2.4915,2.488,2.4814,2.4848,2.4891,2.4864,2.4811,2.4878,2.4854,2.4866,2.484,2.4835,2.4735
2025-07-22,2.4196,2.4767,2.4985,2.504,2.5026,2.4981,2.494,2.4904,2.4867,2.4478,2.4874,2.5012,2.5033,2.5003,2.496,2.4922,2.4886,2.4836,2.4808,2.4793,2.4957,2.4995,2.4945,2.4878,2.482,2.4799,2.4794,2.4847,2.492,2.4928,2.4886,2.481,2.4792,2.4886,2.4861,2.4805,2.4829,2.4868,2.4847,2.4802,2.4856,2.4838,2.4845,2.4825,2.4818,2.4731
2025-07-23,2.4584,2.5134,2.534,2.5385,2.5366,2.5315,2.5281,2.5229,2.5205,2.4856,2.5236,2.5362,2.5375,2.5341,2.5298,2.5255,2.5217,2.5174,2.5145,2.5153,2.5306,2.5338,2.5281,2.5214,2.5157,2.5131,2.5123,2.5196,2.5263,2.5268,2.5223,2.5145,2.5129,2.5227,2.5196,2.5139,2.5171,2.5207,2.5181,2.5138,2.5194,2.5174,2.5185,2.5162,2.5159,2.5076
2025-07-24,2.4324,2.4972,2.5253,2.5347,2.5356,2.5331,2.5305,2.5275,2.5256,2.4644,2.5111,2.5299,2.5351,2.5344,2.5318,2.529,2.5266,2.5225,2.5203,2.5038,2.5248,2.5318,2.5306,2.5258,2.5212,2.519,2.5187,2.5152,2.5253,2.5281,2.5262,2.5202,2.5188,2.5237,2.5241,2.5197,2.5172,2.5227,2.523,2.5196,2.5221,2.5224,2.5212,2.5205,2.5173,2.5071
2025-07-25,2.4691,2.5254,2.5475,2.5532,2.5526,2.5489,2.5459,2.5418,2.5382,2.4969,2.5363,2.5503,2.5529,2.5508,2.5474,2.5439,2.54,2.5362,2.5334,2.5286,2.5453,2.5497,2.5457,2.5398,2.5346,2.5325,2.5315,2.5351,2.5427,2.5439,2.5405,2.5336,2.5318,2.5399,2.5381,2.533,2.5342,2.5383,2.5368,2.5328,2.5372,2.5361,2.5363,2.5347,2.5334,2.5248
2025-07-28,2.4309,2.4917,2.5161,2.5225,2.5217,2.5184,2.5134,2.5101,2.5083,2.4609,2.5038,2.5193,2.5221,2.5201,2.516,2.5118,2.5092,2.5042,2.5014,2.4955,2.5138,2.5185,2.5146,2.5082,2.5026,2.5,2.5003,2.5029,2.5112,2.5126,2.5089,2.5014,2.5002,2.5082,2.5063,2.501,2.502,2.5065,2.5051,2.5008,2.5055,2.5043,2.5045,2.5028,2.5013,2.492
2025-07-29,2.4429,2.506,2.5305,2.5376,2.5368,2.5321,2.5282,2.5253,2.5206,2.474,2.5181,2.534,2.5372,2.5345,2.5302,2.5268,2.523,2.5182,2.5154,2.5097,2.5283,2.5331,2.5288,2.5222,2.5166,2.514,2.5139,2.5169,2.5255,2.5269,2.5231,2.5154,2.5138,2.5224,2.5204,2.5149,2.516,2.5206,2.5191,2.5147,2.5196,2.5182,2.5185,2.5167,2.5153,2.5056
2025-07-30,2.4584,2.5157,2.5376,2.5428,2.5407,2.5367,2.5326,2.5281,2.5241,2.4867,2.5265,2.5401,2.5417,2.5387,2.5347,2.5304,2.5261,2.5221,2.5186,2.5181,2.5345,2.5382,2.5326,2.5259,2.52,2.5177,2.517,2.5232,2.5305,2.5312,2.5267,2.519,2.5171,2.5269,2.5241,2.5184,2.5211,2.525,2.5226,2.5181,2.5237,2.5218,2.5227,2.5205,2.5199,2.5112
2025-07-31,2.4282,2.4882,2.5134,2.5217,2.5224,2.5197,2.5171,2.5148,2.5108,2.4579,2.5007,2.5175,2.522,2.521,2.5184,2.516,2.5129,2.5095,2.5067,2.4937,2.5127,2.5188,2.5171,2.5125,2.5078,2.5058,2.5056,2.5035,2.5126,2.515,2.5128,2.5069,2.5056,2.5108,2.5107,2.5065,2.5048,2.5097,2.5097,2.5063,2.5091,2.5091,2.5082,2.5074,2.5048,2.4954
2025-08-01,2.4472,2.5053,2.529,2.5359,2.5361,2.533,2.5293,2.5269,2.5242,2.4759,2.517,2.5324,2.536,2.5346,2.5311,2.5281,2.5256,2.5208,2.5192,2.5097,2.5275,2.5327,2.53,2.5245,2.5199,2.5173,2.5174,2.5179,2.5261,2.5279,2.5253,2.5187,2.5175,2.5239,2.5229,2.5183,2.518,2.5225,2.5218,2.5181,2.5218,2.5211,2.5208,2.5197,2.5177,2.5087
2025-08-04,2.4133,2.4792,2.5085,2.5201,2.5223,2.5211,2.5198,2.5172,2.5152,2.4458,2.4936,2.5142,2.5212,2.5217,2.5204,2.5185,2.5162,2.5129,2.5112,2.4874,2.5097,2.5182,2.5192,2.5157,2.5119,2.5099,2.5099,2.5015,2.5125,2.5163,2.5158,2.511,2.5098,2.5121,2.5141,2.5107,2.5055,2.5116,2.5132,2.5105,2.5113,2.5127,2.5105,2.5107,2.5063,2.4958
2025-08-05,2.3861,2.4566,2.4891,2.503,2.5069,2.5072,2.5051,2.5042,2.5018,2.4209,2.4726,2.496,2.5049,2.507,2.5061,2.5046,2.503,2.5002,2.4985,2.4669,2.492,2.5021,2.5051,2.5024,2.4992,2.4973,2.4979,2.4842,2.4968,2.5016,2.5023,2.4983,2.4976,2.4972,2.5009,2.4982,2.4903,2.4972,2.5002,2.498,2.4974,2.4998,2.4965,2.4975,2.4918,2.4804
2025-08-06,2.4363,2.4959,2.5211,2.5286,2.5295,2.5267,2.5239,2.5204,2.5181,2.4658,2.5084,2.5248,2.5291,2.5281,2.5253,2.5221,2.5193,2.5155,2.5138,2.5012,2.52,2.5259,2.5239,2.5188,2.5145,2.5119,2.5118,2.5106,2.5194,2.5217,2.5195,2.5133,2.5121,2.5176,2.5173,2.5129,2.5115,2.5164,2.5161,2.5128,2.5157,2.5156,2.5149,2.514,2.5115,2.5022
2025-08-07,2.4355,2.4945,2.5214,2.5316,2.534,2.533,2.5324,2.5294,2.5286,2.4646,2.5078,2.5264,2.5328,2.5335,2.5327,2.5309,2.529,2.5259,2.5248,2.5022,2.5225,2.5304,2.5316,2.5285,2.5253,2.5235,2.5237,2.5153,2.5253,2.5288,2.5286,2.5245,2.5238,2.5251,2.5271,2.5242,2.5192,2.5247,2.5264,2.5242,2.5246,2.526,2.5239,2.5242,2.52,2.5106
2025-08-08,2.4529,2.5122,2.5361,2.5422,2.5422,2.5385,2.5339,2.5313,2.5284,2.4822,2.524,2.5391,2.5422,2.5404,2.5362,2.5326,2.5299,2.5254,2.5225,2.516,2.5339,2.5386,2.535,2.529,2.5237,2.5216,2.5208,2.5234,2.5316,2.5331,2.5297,2.5227,2.521,2.5289,2.5273,2.5222,2.5229,2.5273,2.526,2.522,2.5263,2.5253,2.5253,2.5238,2.5222,2.5131
2025-08-11,2.4491,2.5072,2.5299,2.5363,2.5344,2.5318,2.5268,2.5238,2.5204,2.4778,2.5184,2.533,2.5353,2.5331,2.5294,2.5253,2.5221,2.5174,2.5151,2.5104,2.5277,2.5319,2.5276,2.5213,2.5161,2.5133,2.5134,2.5169,2.5247,2.5259,2.5222,2.5148,2.5134,2.5217,2.5196,2.5144,2.5157,2.5199,2.5183,2.5142,2.519,2.5176,2.518,2.5162,2.515,2.5061
2025-08-12,2.4177,2.4729,2.492,2.4957,2.4928,2.4871,2.4821,2.4771,2.4751,2.445,2.4823,2.4939,2.4943,2.49,2.4847,2.4796,2.4761,2.4707,2.4672,2.4734,2.488,2.4901,2.4831,2.4753,2.4686,2.4663,2.4654,2.476,2.482,2.4818,2.4763,2.4675,2.4656,2.4776,2.4734,2.4669,2.472,2.4752,2.4717,2.4667,2.4737,2.4708,2.4726,2.4698,2.4702,2.4621
2025-08-13,2.4512,2.5095,2.5297,2.5324,2.5284,2.5226,2.5163,2.5112,2.5081,2.48,2.5195,2.531,2.5304,2.5255,2.5195,2.5138,2.5097,2.5033,2.5005,2.5094,2.5244,2.526,2.5176,2.5086,2.5016,2.4981,2.4981,2.511,2.517,2.5164,2.5101,2.5,2.4981,2.5119,2.5066,2.4994,2.5058,2.509,2.5048,2.4992,2.5074,2.5038,2.5061,2.5028,2.5038,2.4952
2025-08-14,2.4099,2.4688,2.4869,2.4868,2.4794,2.4719,2.4638,2.458,2.4522,2.439,2.4777,2.4868,2.4831,2.4757,2.4679,2.4609,2.4551,2.4481,2.4435,2.4656,2.4787,2.4781,2.4654,2.4542,2.4454,2.442,2.4409,2.4626,2.4672,2.4651,2.456,2.4438,2.4409,2.4601,2.4519,2.4429,2.454,2.4563,2.4496,2.4425,2.4539,2.4483,2.4524,2.4475,2.4506,2.4423
2025-08-15,2.3571,2.4207,2.4423,2.445,2.4391,2.4326,2.4254,2.4188,2.4146,2.3885,2.4314,2.4437,2.4421,2.4359,2.429,2.4221,2.4167,2.4102,2.4062,2.4199,2.4358,2.4371,2.4264,2.416,2.4078,2.4043,2.4038,2.4203,2.4265,2.4255,2.4177,2.4062,2.4035,2.4204,2.4137,2.4055,2.4137,2.417,2.4117,2.405,2.4149,2.4103,2.4134,2.4093,2.4111,2.4018
2025-08-18,2.3125,2.3855,2.4132,2.4197,2.4175,2.4115,2.4061,2.4013,2.397,2.3486,2.3992,2.4164,2.4186,2.4145,2.4088,2.4037,2.3992,2.3927,2.3893,2.3885,2.4092,2.4137,2.4069,2.3981,2.3907,2.3874,2.3867,2.3949,2.404,2.4048,2.3993,2.3891,2.3872,2.3995,2.3958,2.3884,2.392,2.3969,2.3939,2.3883,2.3953,2.3929,2.394,2.3913,2.3906,2.3797
2025-08-19,2.2665,2.3392,2.3675,2.3752,2.3744,2.369,2.3643,2.3592,2.3565,2.3024,2.3532,2.3713,2.3748,2.3717,2.3667,2.3618,2.3579,2.3525,2.3491,2.3434,2.3647,2.3701,2.3649,2.3571,2.3505,2.3473,2.3466,2.3515,2.3612,2.3626,2.3581,2.349,2.347,2.3574,2.3549,2.3483,2.3501,2.3552,2.3532,2.3481,2.3539,2.3523,2.3527,2.3506,2.3491,2.3382
2025-08-20,2.3277,2.4006,2.4299,2.438,2.437,2.4334,2.4285,2.4238,2.4216,2.3637,2.4151,2.4339,2.4376,2.4353,2.431,2.4261,2.4227,2.4169,2.414,2.4054,2.4275,2.4334,2.429,2.4216,2.4152,2.4122,2.4123,2.4148,2.4247,2.4266,2.4225,2.4138,2.412,2.4214,2.4195,2.4134,2.414,2.4195,2.418,2.413,2.4184,2.417,2.4171,2.4152,2.4133,2.4022
2025-08-21,2.3509,2.4282,2.46,2.4701,2.4704,2.4671,2.4623,2.4592,2.4552,2.3891,2.4439,2.465,2.4702,2.4687,2.4647,2.4608,2.4572,2.4518,2.449,2.4346,2.4587,2.466,2.463,2.4562,2.4502,2.4472,2.4469,2.4463,2.4575,2.4602,2.457,2.4488,2.4471,2.4549,2.4541,2.4482,2.4471,2.4532,2.4526,2.448,2.4523,2.4518,2.4511,2.4498,2.4468,2.4349
2025-08-22,2.3907,2.4732,2.5084,2.5207,2.5222,2.5197,2.5156,2.5125,2.5089,2.4314,2.4906,2.5144,2.5214,2.521,2.5177,2.5141,2.5107,2.5063,2.5034,2.4815,2.5083,2.5172,2.516,2.51,2.5046,2.5017,2.5014,2.4962,2.5091,2.5128,2.5106,2.5032,2.5016,2.5073,2.508,2.5027,2.499,2.5061,2.5066,2.5025,2.5054,2.5059,2.5042,2.5036,2.4993,2.4864
2025-08-25,2.4075,2.4847,2.518,2.5296,2.5312,2.5287,2.5249,2.5226,2.5195,2.4456,2.5011,2.5237,2.5304,2.53,2.5268,2.5237,2.5211,2.5162,2.5133,2.4927,2.5179,2.5264,2.5255,2.52,2.5145,2.5125,2.5117,2.5068,2.5189,2.5224,2.5204,2.5136,2.512,2.5172,2.5181,2.513,2.5095,2.5162,2.5167,2.5129,2.5154,2.5161,2.5145,2.5139,2.5098,2.4977
2025-08-26,2.3572,2.4344,2.4673,2.4784,2.4797,2.4763,2.4737,2.4695,2.4659,2.3953,2.4506,2.4727,2.479,2.478,2.475,2.4716,2.4677,2.464,2.4606,2.442,2.4667,2.475,2.4732,2.4675,2.462,2.4593,2.4596,2.4552,2.4671,2.4704,2.4679,2.4607,2.4591,2.4651,2.4654,2.4604,2.4574,2.4639,2.4642,2.46,2.4632,2.4633,2.462,2.4612,2.4575,2.4455
2025-08-27,2.3715,2.4459,2.4773,2.4883,2.4892,2.4875,2.4828,2.4806,2.4768,2.4082,2.4614,2.4827,2.4887,2.4884,2.4852,2.4817,2.4788,2.4745,2.4717,2.4531,2.4772,2.485,2.4835,2.478,2.4729,2.4699,2.4703,2.466,2.4775,2.4807,2.4785,2.4715,2.4702,2.4757,2.476,2.4711,2.4682,2.4745,2.4748,2.4709,2.4738,2.4741,2.4727,2.472,2.4684,2.4568
2025-08-28,2.3835,2.4556,2.4864,2.4968,2.4982,2.4964,2.4927,2.4893,2.4874,2.4191,2.4708,2.4915,2.4975,2.4973,2.4946,2.4911,2.4884,2.4837,2.4814,2.4627,2.4862,2.494,2.4929,2.4875,2.4824,2.4806,2.48,2.4757,2.4868,2.4899,2.488,2.4815,2.4801,2.4852,2.4858,2.4811,2.478,2.4842,2.4846,2.4809,2.4835,2.4839,2.4825,2.4819,2.4783,2.467
2025-08-29,2.4708,2.5355,2.5632,2.5719,2.5724,2.5702,2.5674,2.5642,2.5609,2.5028,2.5492,2.5675,2.5722,2.5713,2.5688,2.5658,2.5626,2.5592,2.5558,2.5416,2.5623,2.569,2.5672,2.5623,2.5572,2.5554,2.5549,2.5524,2.5623,2.5649,2.5625,2.5564,2.5549,2.5603,2.5604,2.556,2.5539,2.5593,2.5593,2.5557,2.5586,2.5586,2.5577,2.5569,2.5539,2.5437
2025-09-01,2.492,2.5608,2.5893,2.5991,2.6,2.5972,2.5938,2.5903,2.5874,2.526,2.5749,2.5941,2.5995,2.5986,2.5955,2.592,2.5888,2.585,2.5828,2.5669,2.5888,2.5958,2.5939,2.5884,2.5837,2.581,2.5807,2.5782,2.5886,2.5914,2.5891,2.5824,2.5808,2.5868,2.5867,2.5819,2.5798,2.5855,2.5855,2.5817,2.5848,2.5848,2.5838,2.5829,2.5798,2.569
2025-09-02,2.5396,2.61,2.639,2.6478,2.6475,2.6447,2.6404,2.6376,2.6336,2.5744,2.6243,2.6434,2.6477,2.6461,2.6426,2.639,2.6357,2.6303,2.628,2.6155,2.6374,2.6439,2.641,2.6346,2.6289,2.6267,2.6259,2.6258,2.6361,2.6384,2.6353,2.6279,2.6261,2.6336,2.6328,2.6273,2.6265,2.6321,2.6314,2.6271,2.6312,2.6306,2.6301,2.6288,2.6262,2.6151
2025-09-03,2.5828,2.6479,2.6715,2.675,2.6714,2.6648,2.6587,2.6532,2.6489,2.615,2.6596,2.6732,2.6732,2.6681,2.6618,2.656,2.6511,2.6452,2.6411,2.6486,2.6659,2.6685,2.6597,2.6504,2.6428,2.6392,2.6392,2.6514,2.6587,2.6585,2.6518,2.6411,2.6389,2.6534,2.6481,2.6406,2.6466,2.6505,2.6463,2.6401,2.6488,2.6451,2.6474,2.6439,2.6446,2.6347
2025-09-04,2.5521,2.6217,2.649,2.6559,2.6549,2.6503,2.6455,2.6407,2.6375,2.5865,2.6351,2.6524,2.6554,2.6526,2.6479,2.6431,2.6391,2.6341,2.6307,2.6255,2.646,2.6512,2.646,2.6386,2.6321,2.6288,2.629,2.6332,2.6425,2.644,2.6395,2.6306,2.629,2.6389,2.6364,2.6301,2.6318,2.6368,2.6349,2.6299,2.6357,2.634,2.6345,2.6324,2.6309,2.6201
