date,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,25y,30y
2025-07-31,2.2995,2.3631,2.4038,2.4302,2.4476,2.4593,2.4673,2.473,2.4772,2.4802,2.4845,2.4883,2.4919,2.494,2.4954
2025-08-01,2.3213,2.3835,2.4231,2.4486,2.4652,2.4763,2.4838,2.489,2.4928,2.4956,2.4993,2.5027,2.5057,2.5075,2.5087
2025-08-04,2.2767,2.3442,2.3881,2.4171,2.4367,2.4501,2.4595,2.4664,2.4715,2.4754,2.4809,2.4861,2.491,2.4939,2.4958
2025-08-05,2.2424,2.3134,2.36,2.3911,2.4124,2.4272,2.4378,2.4455,2.4514,2.4559,2.4624,2.4686,2.4745,2.4781,2.4804
2025-08-06,2.308,2.3714,2.4119,2.4382,2.4554,2.467,2.4749,2.4805,2.4845,2.4875,2.4916,2.4954,2.4988,2.5008,2.5022
2025-08-07,2.3134,2.3737,2.413,2.4391,2.4567,2.4688,2.4773,2.4836,2.4882,2.4918,2.4968,2.5016,2.5061,2.5088,2.5106
2025-08-08,2.3227,2.387,2.4277,2.4538,2.4706,2.4818,2.4893,2.4944,2.4981,2.5008,2.5044,2.5075,2.5104,2.512,2.5131
2025-08-11,2.3203,2.3839,2.424,2.4495,2.466,2.4767,2.484,2.4889,2.4924,2.4949,2.4982,2.5011,2.5036,2.5051,2.5061
2025-08-12,2.291,2.3536,2.3924,2.4164,2.4315,2.4411,2.4472,2.4512,2.4538,2.4557,2.4579,2.4595,2.4609,2.4616,2.4621
2025-08-13,2.3154,2.3825,2.4238,2.4493,2.4651,2.475,2.4813,2.4853,2.4879,2.4897,2.4917,2.4932,2.4942,2.4948,2.4952
2025-08-14,2.2668,2.3375,2.3802,2.4059,2.4213,2.4304,2.4359,2.4391,2.441,2.442,2.4429,2.443,2.4428,2.4425,2.4423
2025-08-15,2.2059,2.2806,2.3262,2.3542,2.3715,2.3821,2.3888,2.393,2.3956,2.3973,2.3992,2.4004,2.4012,2.4016,2.4018
2025-08-18,2.1478,2.2292,2.2801,2.3122,2.3327,2.346,2.3547,2.3606,2.3647,2.3676,2.3713,2.3744,2.3771,2.3786,2.3797
2025-08-19,2.1055,2.1851,2.2353,2.2672,2.2878,2.3014,2.3104,2.3166,2.3209,2.3241,2.3283,2.3319,2.3351,2.3369,2.3382
2025-08-20,2.1675,2.2467,2.2968,2.3289,2.3497,2.3634,2.3727,2.3791,2.3836,2.387,2.3914,2.3953,2.3988,2.4009,2.4022
2025-08-21,2.1836,2.2663,2.319,2.353,2.3753,2.3902,2.4004,2.4075,2.4127,2.4165,2.4217,2.4264,2.4307,2.4332,2.4349
2025-08-22,2.2154,2.302,2.3577,2.394,2.4181,2.4344,2.4457,2.4537,2.4596,2.464,2.4702,2.4759,2.4812,2.4843,2.4864
2025-08-25,2.244,2.3248,2.3768,2.4108,2.4334,2.4487,2.4593,2.4668,2.4724,2.4766,2.4824,2.4877,2.4928,2.4957,2.4977
2025-08-26,2.1927,2.274,2.3262,2.3602,2.3827,2.3979,2.4083,2.4158,2.4212,2.4252,2.4309,2.436,2.4408,2.4437,2.4455
2025-08-27,2.213,2.2913,2.3416,2.3743,2.396,2.4106,2.4208,2.4279,2.4332,2.4371,2.4426,2.4476,2.4522,2.455,2.4568
2025-08-28,2.2307,2.3062,2.3548,2.3865,2.4075,2.4217,2.4316,2.4386,2.4437,2.4476,2.4529,2.4578,2.4625,2.4652,2.467
2025-08-29,2.3319,2.4005,2.4444,2.473,2.4918,2.5044,2.5131,2.5193,2.5238,2.5271,2.5318,2.5359,2.5399,2.5422,2.5437
2025-09-01,2.3452,2.4177,2.4642,2.4943,2.5142,2.5276,2.5368,2.5433,2.548,2.5515,2.5564,2.5609,2.565,2.5674,2.569
2025-09-02,2.3875,2.4626,2.5105,2.5414,2.5616,2.575,2.5842,2.5906,2.5953,2.5987,2.6033,2.6075,2.6114,2.6136,2.6151
2025-09-03,2.4323,2.5066,2.5525,2.5811,2.5989,2.6102,2.6174,2.6221,2.6252,2.6273,2.6299,2.6318,2.6333,2.6342,2.6347
2025-09-04,2.3982,2.4742,2.5221,2.5526,2.5722,2.5851,2.5937,2.5996,2.6037,2.6067,2.6107,2.6141,2.6171,2.6189,2.6201
2025-09-05,2.3558,2.434,2.4833,2.5147,2.5351,2.5484,2.5574,2.5635,2.5679,2.571,2.5752,2.5789,2.5821,2.5841,2.5853
2025-09-08,2.3879,2.4623,2.5087,2.5378,2.5563,2.5683,2.576,2.5812,2.5848,2.5873,2.5905,2.5931,2.5953,2.5966,2.5974
2025-09-09,2.4625,2.5397,2.5865,2.6149,2.6321,2.6425,2.6488,2.6526,2.655,2.6564,2.6577,2.6583,2.6585,2.6585,2.6585
2025-09-10,2.468,2.5455,2.5934,2.6231,2.6416,2.6533,2.6608,2.6657,2.6689,2.671,2.6737,2.6756,2.6771,2.678,2.6785
2025-09-11,2.487,2.5655,2.6137,2.6434,2.6618,2.6733,2.6806,2.6852,2.6882,2.6901,2.6924,2.694,2.6951,2.6957,2.6961
2025-09-12,2.5032,2.5796,2.6268,2.6562,2.6745,2.6861,2.6935,2.6984,2.7016,2.7038,2.7064,2.7084,2.7099,2.7108,2.7114
2025-09-15,2.4175,2.4994,2.5504,2.5823,2.6025,2.6155,2.6239,2.6295,2.6333,2.636,2.6393,2.642,2.6443,2.6455,2.6464
2025-09-16,2.3988,2.4851,2.5394,2.574,2.5963,2.6109,2.6206,2.6273,2.632,2.6354,2.6399,2.6437,2.6472,2.6492,2.6505
2025-09-17,2.3972,2.4861,2.5424,2.5785,2.602,2.6176,2.6281,2.6355,2.6407,2.6445,2.6496,2.6542,2.6583,2.6607,2.6623
2025-09-18,2.3742,2.4674,2.5271,2.5657,2.5911,2.6081,2.6198,2.6281,2.634,2.6385,2.6446,2.6501,2.6553,2.6583,2.6603
2025-09-19,2.4295,2.5189,2.5749,2.6102,2.6328,2.6474,2.6571,2.6636,2.668,2.6712,2.6754,2.6788,2.6818,2.6835,2.6847
2025-09-22,2.3395,2.4352,2.4958,2.5346,2.5599,2.5766,2.5878,2.5956,2.6012,2.6052,2.6107,2.6155,2.6199,2.6224,2.6241
2025-09-23,2.3896,2.4881,2.5484,2.5855,2.6084,2.6225,2.6314,2.637,2.6406,2.6429,2.6455,2.6472,2.6484,2.649,2.6493
2025-09-24,2.4455,2.5396,2.5961,2.6298,2.6498,2.6616,2.6684,2.6723,2.6745,2.6756,2.6763,2.6761,2.6752,2.6746,2.6741
2025-09-25,2.4708,2.5657,2.6224,2.6561,2.676,2.6876,2.6943,2.698,2.7,2.701,2.7014,2.7009,2.6997,2.6989,2.6983
2025-09-26,2.4223,2.518,2.5758,2.6107,2.6318,2.6445,2.6521,2.6566,2.6593,2.6609,2.6624,2.6628,2.6627,2.6626,2.6624
2025-09-29,2.4702,2.5534,2.6029,2.6321,2.6492,2.659,2.6646,2.6676,2.6691,2.6697,2.6698,2.669,2.6676,2.6666,2.666
2025-09-30,2.463,2.5501,2.6031,2.6354,2.6551,2.6671,2.6745,2.6791,2.6819,2.6837,2.6855,2.6865,2.687,2.6872,2.6873
2025-10-01,2.5121,2.595,2.6456,2.6765,2.6954,2.7071,2.7143,2.7188,2.7216,2.7234,2.7254,2.7265,2.7272,2.7275,2.7277
2025-10-02,2.4858,2.5658,2.6147,2.6447,2.6632,2.6746,2.6817,2.6861,2.6889,2.6908,2.6928,2.694,2.6948,2.6952,2.6955
2025-10-03,2.492,2.5703,2.6183,2.648,2.6663,2.6778,2.685,2.6896,2.6926,2.6946,2.6969,2.6984,2.6996,2.7002,2.7006
2025-10-06,2.6028,2.6717,2.7138,2.7397,2.7556,2.7655,2.7717,2.7756,2.778,2.7797,2.7815,2.7826,2.7834,2.7838,2.7841
2025-10-07,2.5949,2.6673,2.7117,2.7391,2.756,2.7665,2.7731,2.7773,2.78,2.7818,2.7838,2.7852,2.7861,2.7866,2.787
2025-10-08,2.5495,2.6245,2.6706,2.6991,2.7168,2.7279,2.7349,2.7394,2.7424,2.7443,2.7466,2.7482,2.7494,2.7501,2.7505
2025-10-09,2.56,2.6374,2.6857,2.7162,2.7355,2.748,2.7562,2.7617,2.7654,2.7681,2.7715,2.7743,2.7767,2.7781,2.779
2025-10-10,2.5232,2.6066,2.6585,2.691,2.7115,2.7247,2.7333,2.739,2.7428,2.7455,2.7489,2.7516,2.7539,2.7552,2.756
2025-10-13,2.514,2.6027,2.6582,2.6933,2.7157,2.7301,2.7397,2.7461,2.7506,2.7537,2.7578,2.7612,2.7642,2.7659,2.767
2025-10-14,2.6342,2.7126,2.7612,2.7915,2.8106,2.8227,2.8305,2.8356,2.839,2.8414,2.8443,2.8465,2.8483,2.8494,2.85
2025-10-15,2.6307,2.7039,2.7489,2.7767,2.7939,2.8047,2.8116,2.816,2.8188,2.8207,2.8229,2.8245,2.8257,2.8263,2.8267
2025-10-16,2.6615,2.7294,2.771,2.7966,2.8123,2.822,2.8281,2.832,2.8344,2.836,2.8378,2.8389,2.8397,2.8401,2.8403
2025-10-17,2.5752,2.654,2.7048,2.738,2.7602,2.7752,2.7857,2.7932,2.7987,2.8029,2.8087,2.8141,2.8191,2.8221,2.8241
2025-10-20,2.5354,2.6218,2.6776,2.714,2.7383,2.7547,2.7662,2.7744,2.7804,2.785,2.7913,2.7972,2.8027,2.8059,2.8081
2025-10-21,2.4508,2.5412,2.6,2.6388,2.6649,2.6829,2.6955,2.7047,2.7115,2.7167,2.7241,2.7309,2.7375,2.7414,2.744
2025-10-22,2.4915,2.5864,2.648,2.6886,2.7159,2.7346,2.7477,2.7572,2.7642,2.7695,2.7771,2.7841,2.7909,2.7948,2.7975
2025-10-23,2.4681,2.5671,2.6316,2.6743,2.7031,2.723,2.7371,2.7473,2.7549,2.7607,2.769,2.7768,2.7843,2.7887,2.7917
2025-10-24,2.462,2.5624,2.6281,2.6718,2.7014,2.7219,2.7365,2.7471,2.7551,2.7612,2.77,2.7782,2.7862,2.7909,2.794
2025-10-27,2.445,2.5462,2.612,2.6556,2.685,2.7053,2.7196,2.7299,2.7376,2.7435,2.7519,2.7598,2.7673,2.7718,2.7748
2025-10-28,2.5008,2.6068,2.6752,2.7199,2.7496,2.7699,2.7839,2.794,2.8014,2.8069,2.8147,2.8219,2.8287,2.8327,2.8353
2025-10-29,2.3988,2.5089,2.5802,2.627,2.6583,2.6797,2.6947,2.7054,2.7134,2.7194,2.7279,2.7357,2.7432,2.7476,2.7506
2025-10-30,2.3962,2.5071,2.5792,2.6269,2.659,2.6811,2.6966,2.7079,2.7163,2.7227,2.7318,2.7403,2.7484,2.7532,2.7564
2025-10-31,2.3595,2.474,2.5486,2.5978,2.631,2.6538,2.6699,2.6816,2.6903,2.6969,2.7063,2.7152,2.7236,2.7286,2.7319
2025-11-03,2.3635,2.4807,2.5567,2.6069,2.6407,2.6638,2.6802,2.6919,2.7007,2.7074,2.7168,2.7257,2.7341,2.7391,2.7424
2025-11-04,2.3982,2.5118,2.5849,2.6325,2.6641,2.6855,2.7003,2.7109,2.7186,2.7244,2.7325,2.7399,2.7468,2.7509,2.7536
2025-11-05,2.3449,2.4623,2.538,2.5875,2.6205,2.6429,2.6584,2.6696,2.6777,2.6839,2.6925,2.7004,2.7079,2.7124,2.7153
2025-11-06,2.3741,2.4899,2.5643,2.6129,2.6451,2.667,2.6821,2.6929,2.7008,2.7068,2.7151,2.7227,2.7298,2.734,2.7368
2025-11-07,2.4246,2.5404,2.6147,2.6631,2.6951,2.7167,2.7316,2.7422,2.7499,2.7557,2.7637,2.771,2.7779,2.7819,2.7846
2025-11-10,2.411,2.5288,2.6041,2.6529,2.685,2.7065,2.7213,2.7318,2.7393,2.745,2.7527,2.7597,2.7662,2.7701,2.7726
2025-11-11,2.4728,2.5872,2.6592,2.705,2.7344,2.7537,2.7665,2.7753,2.7814,2.7858,2.7917,2.7966,2.8011,2.8037,2.8054
2025-11-12,2.4848,2.5952,2.6644,2.7083,2.7364,2.7547,2.7668,2.775,2.7807,2.7848,2.7901,2.7946,2.7985,2.8008,2.8023
2025-11-13,2.4946,2.6043,2.6731,2.7167,2.7446,2.7628,2.7749,2.7831,2.7888,2.7928,2.7982,2.8027,2.8066,2.8089,2.8104
2025-11-14,2.509,2.6233,2.6945,2.7393,2.7677,2.786,2.7979,2.8059,2.8113,2.8152,2.82,2.824,2.8273,2.8292,2.8305
2025-11-17,2.4312,2.5527,2.6291,2.6775,2.7086,2.7289,2.7424,2.7516,2.758,2.7626,2.7686,2.7737,2.7783,2.7809,2.7827
2025-11-18,2.484,2.6018,2.675,2.7209,2.7499,2.7685,2.7805,2.7885,2.794,2.7978,2.8025,2.8063,2.8095,2.8113,2.8125
2025-11-19,2.4595,2.5798,2.6552,2.7029,2.7335,2.7533,2.7665,2.7754,2.7815,2.786,2.7917,2.7965,2.8008,2.8033,2.8049
2025-11-20,2.4439,2.5604,2.6331,2.679,2.7081,2.727,2.7393,2.7477,2.7534,2.7574,2.7626,2.7668,2.7705,2.7726,2.774
2025-11-21,2.3937,2.5124,2.5869,2.6341,2.6643,2.684,2.6971,2.7059,2.712,2.7164,2.7222,2.727,2.7313,2.7338,2.7354
2025-11-24,2.3453,2.4675,2.5448,2.5942,2.6262,2.6473,2.6616,2.6714,2.6783,2.6834,2.6902,2.6961,2.7015,2.7046,2.7067
2025-11-25,2.3428,2.4646,2.5422,2.5922,2.6249,2.6467,2.6616,2.6719,2.6794,2.6849,2.6924,2.6992,2.7054,2.709,2.7114
2025-11-26,2.3151,2.4387,2.5188,2.5716,2.6069,2.6312,2.6481,2.6604,2.6694,2.6763,2.686,2.6951,2.7037,2.7088,2.7122
2025-11-27,2.2745,2.3997,2.4809,2.5345,2.5705,2.5953,2.6127,2.6252,2.6346,2.6417,2.6518,2.6612,2.6702,2.6755,2.679
2025-11-28,2.3666,2.4846,2.5606,2.6103,2.6433,2.6657,2.6813,2.6924,2.7006,2.7067,2.7153,2.7232,2.7306,2.735,2.7379
2025-12-01,2.3409,2.4618,2.5403,2.592,2.6267,2.6505,2.6672,2.6793,2.6883,2.6951,2.7047,2.7137,2.7223,2.7274,2.7308
2025-12-02,2.3295,2.4474,2.5242,2.5751,2.6094,2.633,2.6498,2.6619,2.671,2.6779,2.6878,2.697,2.7059,2.7111,2.7146
2025-12-03,2.3884,2.4986,2.5695,2.6159,2.6468,2.6677,2.6823,2.6927,2.7003,2.7061,2.7141,2.7215,2.7285,2.7326,2.7354
2025-12-04,2.4203,2.5257,2.5934,2.6375,2.6667,2.6864,2.7001,2.7098,2.7168,2.7221,2.7295,2.7362,2.7426,2.7463,2.7488
2025-12-05,2.429,2.5335,2.6006,2.6442,2.6731,2.6926,2.706,2.7156,2.7225,2.7277,2.735,2.7415,2.7477,2.7514,2.7538
2025-12-08,2.3896,2.4955,2.5634,2.6076,2.6368,2.6565,2.6702,2.6798,2.6868,2.6921,2.6994,2.7061,2.7123,2.716,2.7184
2025-12-09,2.4883,2.5909,2.655,2.6954,2.721,2.7376,2.7485,2.7558,2.7608,2.7643,2.7688,2.7726,2.7758,2.7776,2.7788
2025-12-10,2.4661,2.5663,2.6286,2.6676,2.6922,2.7079,2.7181,2.7249,2.7294,2.7326,2.7365,2.7396,2.7423,2.7437,2.7447
2025-12-11,2.5497,2.6474,2.7085,2.7469,2.7715,2.7873,2.7977,2.8047,2.8096,2.813,2.8174,2.821,2.8241,2.8259,2.8271
2025-12-12,2.4644,2.5698,2.6374,2.6814,2.7105,2.7301,2.7436,2.7532,2.7602,2.7655,2.7727,2.7794,2.7856,2.7892,2.7916
2025-12-15,2.4273,2.5333,2.6013,2.6455,2.6748,2.6945,2.7081,2.7178,2.7248,2.7301,2.7373,2.744,2.7502,2.7539,2.7563
2025-12-16,2.5369,2.6346,2.6966,2.7365,2.7625,2.7797,2.7914,2.7996,2.8054,2.8097,2.8155,2.8207,2.8254,2.8281,2.83
2025-12-17,2.4936,2.5883,2.649,2.6885,2.7146,2.7321,2.7443,2.7528,2.7591,2.7637,2.7702,2.7761,2.7816,2.7848,2.787
2025-12-18,2.6054,2.6914,2.7457,2.7805,2.8029,2.8177,2.8277,2.8345,2.8394,2.8429,2.8476,2.8517,2.8554,2.8576,2.859
2025-12-19,2.5439,2.6273,2.6797,2.713,2.7344,2.7484,2.7577,2.764,2.7684,2.7716,2.7758,2.7794,2.7826,2.7844,2.7856
2025-12-22,2.5617,2.6479,2.7031,2.7388,2.7624,2.7782,2.7891,2.7968,2.8024,2.8065,2.8123,2.8174,2.8223,2.8251,2.827
2025-12-23,2.5557,2.6408,2.6955,2.7311,2.7547,2.7706,2.7817,2.7895,2.7953,2.7996,2.8055,2.811,2.8161,2.8191,2.8212
2025-12-24,2.5563,2.644,2.7009,2.7384,2.7635,2.7807,2.7928,2.8016,2.808,2.8129,2.8199,2.8264,2.8325,2.8362,2.8386
2025-12-25,2.5708,2.6573,2.7128,2.7489,2.7728,2.789,2.8001,2.808,2.8138,2.8181,2.8242,2.8296,2.8348,2.8378,2.8398
2025-12-26,2.4785,2.5745,2.6367,2.6776,2.705,2.7237,2.7369,2.7463,2.7533,2.7586,2.7661,2.7731,2.7797,2.7836,2.7862
2025-12-29,2.479,2.5794,2.644,2.6863,2.7144,2.7335,2.7468,2.7562,2.7632,2.7684,2.7757,2.7825,2.7888,2.7926,2.7951
2025-12-30,2.5072,2.6026,2.6634,2.7026,2.7284,2.7456,2.7573,2.7656,2.7715,2.776,2.782,2.7874,2.7924,2.7954,2.7973
2025-12-31,2.6437,2.7281,2.7807,2.8136,2.8345,2.8479,2.8566,2.8624,2.8664,2.8691,2.8726,2.8754,2.8778,2.8791,2.88
2026-01-01,2.704,2.7863,2.8364,2.867,2.8857,2.8971,2.9041,2.9085,2.9111,2.9128,2.9146,2.9156,2.9161,2.9163,2.9164
2026-01-02,2.6665,2.7494,2.7994,2.8295,2.8476,2.8584,2.8648,2.8686,2.8708,2.8721,2.8731,2.8734,2.8731,2.8728,2.8726
2026-01-05,2.537,2.6239,2.6785,2.7132,2.7355,2.7501,2.7598,2.7664,2.771,2.7743,2.7787,2.7824,2.7858,2.7877,2.7889
2026-01-06,2.5392,2.626,2.6796,2.713,2.7339,2.7472,2.7556,2.7612,2.7648,2.7674,2.7704,2.7727,2.7745,2.7756,2.7762
2026-01-07,2.569,2.647,2.6949,2.7244,2.7426,2.754,2.7611,2.7656,2.7686,2.7705,2.7727,2.7741,2.7752,2.7757,2.7761
2026-01-08,2.4775,2.5593,2.6098,2.6413,2.6611,2.6737,2.6817,2.687,2.6905,2.6929,2.6959,2.6982,2.7,2.701,2.7017
2026-01-09,2.4235,2.5129,2.5696,2.6061,2.6299,2.6457,2.6564,2.6638,2.6692,2.6731,2.6785,2.6832,2.6875,2.69,2.6917
2026-01-12,2.3709,2.4602,2.5168,2.553,2.5766,2.5921,2.6026,2.6099,2.6151,2.6189,2.624,2.6285,2.6326,2.6349,2.6365
2026-01-13,2.3053,2.3962,2.4549,2.4932,2.5188,2.5362,2.5483,2.5569,2.5633,2.5681,2.5748,2.581,2.5869,2.5903,2.5926
2026-01-14,2.3182,2.4037,2.4589,2.495,2.5191,2.5354,2.5468,2.555,2.561,2.5655,2.5719,2.5777,2.5832,2.5865,2.5887
2026-01-15,2.326,2.4112,2.4668,2.5037,2.5285,2.5457,2.5578,2.5666,2.5732,2.5782,2.5854,2.5921,2.5986,2.6024,2.6049
2026-01-16,2.2926,2.381,2.4394,2.4788,2.5058,2.5248,2.5384,2.5485,2.5562,2.5622,2.5708,2.5791,2.5871,2.5919,2.5951
2026-01-19,2.2756,2.3585,2.4126,2.4485,2.4728,2.4896,2.5015,2.5102,2.5166,2.5216,2.5287,2.5354,2.5418,2.5456,2.5482
2026-01-20,2.2433,2.3263,2.3806,2.4167,2.4412,2.4582,2.4703,2.4792,2.4858,2.4909,2.4982,2.5051,2.5117,2.5156,2.5183
2026-01-21,2.2473,2.3295,2.3827,2.4177,2.4411,2.4571,2.4683,2.4764,2.4824,2.4869,2.4933,2.4992,2.5048,2.5082,2.5104
2026-01-22,2.2052,2.29,2.3454,2.3824,2.4074,2.4247,2.4371,2.4461,2.4529,2.4581,2.4655,2.4725,2.4793,2.4833,2.486
2026-01-23,2.06,2.1565,2.2202,2.2631,2.2925,2.3132,2.328,2.339,2.3473,2.3538,2.3632,2.3721,2.3808,2.386,2.3894
2026-01-26,2.1397,2.2349,2.2974,2.3391,2.3674,2.3872,2.4013,2.4116,2.4193,2.4253,2.4339,2.4421,2.4499,2.4546,2.4577
2026-01-27,2.2289,2.3135,2.3669,2.401,2.4231,2.4377,2.4474,2.4542,2.459,2.4624,2.4671,2.4711,2.4748,2.4769,2.4783
2026-01-28,2.1937,2.2793,2.3348,2.3713,2.3957,2.4125,2.4242,2.4326,2.4389,2.4436,2.4503,2.4565,2.4624,2.4659,2.4683
2026-01-29,2.1808,2.2666,2.3232,2.3612,2.3872,2.4055,2.4186,2.4283,2.4356,2.4413,2.4496,2.4574,2.4651,2.4696,2.4726
2026-01-30,2.1293,2.2228,2.2844,2.3257,2.3539,2.3736,2.3877,2.3981,2.406,2.4121,2.4209,2.4292,2.4373,2.4421,2.4453
2026-02-02,2.1783,2.2724,2.3336,2.374,2.4011,2.4198,2.4329,2.4424,2.4495,2.4549,2.4625,2.4696,2.4764,2.4805,2.4831
2026-02-03,2.1671,2.2665,2.3309,2.3733,2.4016,2.421,2.4346,2.4444,2.4516,2.4571,2.4648,2.472,2.4789,2.4829,2.4856
2026-02-04,2.1693,2.271,2.3374,2.3815,2.4114,2.432,2.4467,2.4574,2.4654,2.4715,2.4803,2.4885,2.4964,2.5011,2.5043
2026-02-05,2.097,2.2064,2.2784,2.3266,2.3595,2.3824,2.3988,2.4109,2.42,2.4271,2.4372,2.4469,2.4562,2.4618,2.4654
2026-02-06,2.1631,2.2748,2.3484,2.3978,2.4315,2.455,2.4719,2.4843,2.4937,2.501,2.5115,2.5215,2.5311,2.5369,2.5407
2026-02-09,2.1173,2.2304,2.3056,2.3565,2.3916,2.4165,2.4345,2.4479,2.4581,2.4661,2.4777,2.4889,2.4998,2.5063,2.5106
2026-02-10,2.0731,2.1854,2.2607,2.3121,2.3479,2.3734,2.392,2.406,2.4168,2.4252,2.4376,2.4496,2.4614,2.4684,2.4731
2026-02-11,2.0858,2.1969,2.2714,2.3223,2.3579,2.3833,2.4019,2.4159,2.4266,2.4351,2.4475,2.4595,2.4714,2.4784,2.4831
